"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
7,"A  box  containing  one  silver Tea Pot, Tray & Sugar Pot","Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",1/30/2018,"Rs.60,000/-","Rs.6,000/-","Amount deposited, gift retained"
8,One Shawl with Hand Fan,"Wife of Mr. Shahid
Khaqan Abbasi",1/30/2018,"Rs.5,500/-",Free of cost,Retained
9,"A  box  containing  one  silver
Tea Pot, Tray & Sugar Pot","President           of
Pakistan,          Mr.",1/31/2018,"Rs.58,168/-","Rs.5,634/-","Amount
deposited, gift"
,,Mamnoon Hussain,,,,retained
10,One Stole with Hand Fan,"First      Lady      of Pakistan,   wife   of Mr.         Mamnoon
Hussain",1/31/2018,"Rs.5,500/-",Free of cost,Retained
11,"One box containing
a)  One   Pistol   (No.JK10007)
+ 2 Magazines
b)  Three    Daggers    (Large, Medium & Small)
c)  One Silver Cigarrete Box","Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan Abbasi",2/13/2018,"a)  Rs.300,000/-
b)  Rs.45,000/-
c)  Rs.15,000/-","Rs.66,000/-","Amount deposited, gift retained"
12,One Tea Set (15 pcs),"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",2/14/2018,"Rs.25,000/-",Free of cost,Retained
13,One Wooden Book Cradle,"President           of
Pakistan,          Mr. Mamnoon Hussain",2/14/2018,"Rs.25,000/-",Free of cost,Retained
14,One     W/Watch     (Luminox) (Carbon Case Series 8830),"Lt.      Col.      Ibrar Hussain,   DMS   to
President",2/14/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift
retained"
15,One  W/Watch  (MTM  Special Ops) Combat Tactical (USA),"Sqn. Ldr. Saad Bin Raza,     ADC     to
President",2/14/2018,"Rs.120,000/-","Rs.18,000/-","Amount deposited, gift retained"
16,One W/Watch (Swiss Military) (No.34044),"Lt.     Cdr.     Fahad Usman     Khattak, ADC,       President
Secretariat",2/14/2018,"Rs.35,000/-","Rs.1,000/-","Amount deposited, gift retained"
17,One  W/Watch  (MTM  Special Ops) Combat Tactical (USA),"Maj.    Imran    Ali, Security     Officer, President
Secretariat",2/14/2018,"Rs.120,000/-","Rs.18,000/-","Amount deposited, gift retained"
18,One  W/Watch  (Tissot)  (Steel Chain) (No.T106417A),"Mr.   Tariq   Aslam, Protocol      Officer, President
Secretariat",2/14/2018,"Rs.50,000/-","Rs.4,000/-","Amount deposited, gift retained"
19,One W/Watch (Swiss Military) (No.34044),"Mr.         Saifullah, Protocol  Assistant, President
Secretariat",2/14/2018,"Rs.35,000/-","Rs.1,000/-","Amount deposited, gift retained"
20,One W/Watch (Swiss Military) (By Chrono) (No.34044),"SP  Akhtar  Farooq, Security     Officer, Prime        Minister
Secretariat",2/14/2018,"Rs.35,000/-","Rs.1,000/-","Amount deposited, gift retained"
21,One W/Watch (Swiss Military) (By Chrono) (34044),"Mr.  Abdul  Sattar, Gunman,      Prime Minister
Secretariat",2/14/2018,"Rs.35,000/-","Rs.1,000/-","Amount deposited, gift retained"
22,One W/Watch (Swiss Military) (By Chrono) (34044),"Mr.             Saghir,
Gunman,      Prime Minister Secretariat",2/14/2018,"Rs.35,000/-","Rs.1,000/-","Amount deposited, gift retained"
23,One Azeri Rug,"Ms.          Tehmina
Janjua,       Foreign Secretary",2/26/2018,"Rs.50,000/-","Rs.4,000/-","Amount deposited, gift retained"
24,"One      W/Watch      (Officine
Panerai) Luminor Marina (S.No.OP6846BB1546437)","Sahebzada  Ahmed
Khan, AS / Chief of Protocol, MoFA",2/26/2018,"Rs.900,000/-","Rs.174,000/-","Amount deposited, gift retained"
25,"a)  One Table Clock
b)  One Small Carpet
c)  One Pen
d)  One Book","Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",3/1/2018,"a)  Rs.900,000/-
b)  Rs.30,000/-
c)  Rs.10,000/-
d)  NCV","Rs.182,000/-","Amount deposited, gift retained"
26,One Carpet (Large),"Mr. Shahid Khaqan
Abbasi,         Prime",3/1/2018,"Rs.250,000/-","Rs.44,000/-","Amount deposited, gift"
,,"Minister             of
Pakistan",,,,retained
27,One W/Watch (Longines),"Mr.  Junaid  Wazir,
DCP,          Foreign Affairs",3/6/2018,"Rs.60,000/-","Rs.6,000/-","Amount deposited, gift retained"
28,One W/Watch (Tissot),"Mr.  Talib  Hussain, Protocol  Assistant,
Foreign Affairs",3/6/2018,"Rs.50,000/-","Rs.4,000/-","Amount deposited, gift retained"
29,One Rolex W/Watch Gents,"Mr.   Ahsan   Iqbal, Minister            for
Interior",3/6/2018,"Rs.1,550,000/-","Rs.304,000/-","Amount deposited, gift retained"
30,One Rolex W/Watch Ladies,"Wife     of     Ahsan Iqbal,        Interior
Minister",3/6/2018,"Rs.775,000/-","Rs.149,000/-","Amount deposited, gift retained"
31,One Souvenir,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/6/2018,"Rs.3,500/-",Free of cost,Retained
32,One Leather Hand Bag,"Director Marketing,       HIT
Taxila",3/7/2018,"Rs.5,000/-",Free of cost,Retained
33,One    W/Watch    (Longines) (No.44794193) Steel Chain,"Mr.    Waqas    Latif Mughal,   Assistant
Protocol, MoFA",3/16/2018,"Rs.60,000/-","Rs.6,000/-","Amount deposited, gift retained"
34,One Framed Picture,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/16/2018,"Rs.3,000/-",Free of cost,Retained
35,One Picture frame,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/16/2018,"Rs.2,500/-",Free of cost,Retained
36,"a)  Table Napkins- 6 pcs
b)  Small glass bowl","Ms.          Tehmina
Janjua,       Foreign Secretary",3/16/2018,"a)  Rs.1,800/-
b)  Rs.4,000/-",Free of cost,Retained
37,One Dry Fruit Bowl,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/20/2018,"Rs.5,000/-",Free of cost,Retained
38,One Souvenir,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/20/2018,"Rs.25,000/-",Free of cost,Retained
39,"a)  One Carpet
b)  One Table Set","Khawaja   M.   Asif, Foreign Minister",3/30/2018,"a)  Rs.500,000/-
b)  Rs.125,000/-","Rs.119,000/-","Amount deposited, gift
retained"
40,One Decorative Bowl,"Ms.          Tehmina
Janjua,       Foreign Secretary",3/30/2018,"Rs.40,000/-","Rs.2,000/-","Amount
deposited, gift retained"
41,One  Decoration  Piece  (Silver Made),"Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",4/2/2018,"Rs.80,000/-","Rs.10,000/-","Amount deposited, gift retained"
42,One Silver kettle,"President           of Pakistan, Mr.Mamnoon
Hussain",4/3/2018,"Rs.100,000/-","Rs.14,000/-","Amount deposited, gift retained"
43,One Silver Tray,"Sehabzada  Ahmed Khan, AS / Chief of State       Protocol,
MoFA",4/5/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift retained"
44,One Silver Tray,"Mr.  Junaid  Wazir, DCP, MoFA",4/9/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift
retained"
45,One Carpet (Large),"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",4/11/2018,"Rs.250,000/-","Rs.44,000/-","Amount deposited, gift retained"
46,One Candle holder,Wife of Mr. Shahid,4/11/2018,"Rs.25,000/-",Free of cost,Retained
,,Khaqan Abbasi,,,,
47,One Decoration Piece (Stone),"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",4/11/2018,"Rs.30,000/-",Free of cost,Retained
48,One medium size Lapis box,"Mr.  Fawad  Hasan Fawad,    Secretary to      the      Prime
Minister",4/11/2018,"Rs.10,000/-",Free of cost,Retained
49,One medium size Lapis box,"Brig.         Waseem
Iftikhar, MS to the Prime Minister",4/11/2018,"Rs.10,000/-",Free of cost,Retained
50,One medium size Lapis box,"Mr.   Nabeel   Afzal
Bajwa, PSO to the Prime Minister",4/11/2018,"Rs.10,000/-",Free of cost,Retained
51,One medium size Lapis box,"SP   Rana   Shoaib Mehmood  Security Office to the Prime
Minister",4/11/2018,"Rs.10,000/-",Free of cost,Retained
52,One medium size Lapis box,"Flt.  Lt.  Amanullah Abbasi ADC to the
Prime Minister",4/11/2018,"Rs.10,000/-",Free of cost,Retained
53,"a)  One       Wall       Hanging (Chinese Embroidery)
b)  Four     Tea     Cups    with Saucers
c)  Picture frame","Ms.          Tehmina
Janjua,       Foreign Secretary",4/12/2018,"a)  Rs.45,000/-
b)  Rs.2,500/-
c)  Rs.1,000/-","Rs.3,700/-","Amount deposited, gift retained"
54,Coconut tree in sea wind,"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",4/12/2018,"Rs.15,000/-",Free of cost,Retained
55,Tree of gold and Jade,Wife of Mr. Shahid,4/12/2018,"Rs.15,000/-",Free of cost,Retained
,,Khaqan Abbasi,,,,
56,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr.          Abdullah Khaqan Abbasi,4/12/2018,"Rs.85,000/-","Rs.11,000/-","Amount
deposited, gift retained"
57,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr.  Nadir  Khaqan Abbasi,4/12/2018,"Rs.85,000/-","Rs.11,000/-","Amount deposited, gift retained"
58,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr. Haider Khaqan Abbasi,4/12/2018,"Rs.85,000/-","Rs.11,000/-","Amount deposited, gift
retained"
59,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr. Qasim Khan,4/12/2018,"Rs.85,000/-","Rs.11,000/-","Amount
deposited, gift retained"
60,One silk cloth piece,Mrs. Mariam,4/12/2018,"Rs.6,000/-",Free of cost,Retained
61,One Afghani Rug,"Ms.          Tehmina
Janjua,       Foreign Secretary",4/12/2018,"Rs.60,000/-","Rs.6,000/-","Amount deposited, gift retained"
62,One Silver Kettle,"Khawaja         Asif,
Former       Foreign Minister",4/14/2018,"Rs.70,000/-","Rs.8,000/-","Amount deposited, gift retained"
63,"a)  One    W/Watch    (Rolex) (G018149)
b)  Pair of Cufflinks
c)  One pen
d)  One Ring
e)  One Tasbih","Mr. Shahid Khaqan Abbasi,         Prime
Minister             of Pakistan",4/17/2018,"a)  Rs.25,000,000/-
b)  Rs.200,000/-
c)  Rs.150,000/-
d)  Rs.125,000/-
e)  Rs.950,000/-","Rs.5,279,000/-","Amount deposited, gift retained"
64,One  W/Watch  (Franck  Muller (8880 QP 24),"Mr.          Abdullah
Khaqan      Abbasi,
son      of      Prime Minister",4/17/2018,"Rs.5,500,000/-","Rs.1,094,000/-","Amount deposited, gift retained"
65,One      W/Watch      (Hublot) (1292055),"Mr.  Nadir  Khaqan
Abbasi,     son     of Prime Minister",4/17/2018,"Rs.17,000,000/-","Rs.3,394,000/-","Amount deposited, gift retained"
66,One  W/Watch  (Franck  Muller Geneve) (V 45 CC DT),"Mr.  Fawad  Hasan Fawad,    Secretary to      the      Prime
Minister",4/17/2018,"Rs.1,900,000/-","Rs.374,000/-","Amount deposited, gift retained"
67,One      W/Watch      (Hublot) (401.NJ.0123.VR),"Brig.         Waseem Iftikhar    Cheema, MS  to  the  Prime
Minister",4/17/2018,"Rs.2,000,000/-","Rs.394,000/-","Amount deposited, gift retained"
68,One     W/Watch     (Vacheron Constantin X49A6955),"Mr.     M.     Nabeel
Afzal  Bajwa,  PSO to Prime Minister",4/17/2018,"Rs.1,500,000/-","Rs.294,000/-","Amount deposited, gift retained"
69,One       W/Watch       (Rolex) (83245513),"SP   Rana   Shoaib Mehmood,     Chief Security  Officer  to
Prime Minister",4/17/2018,"Rs.1,300,000/-","Rs.254,000/-","Amount deposited, gift retained"
70,One Carpet,"Khawaja         Asif, Foreign Minister",4/25/2018,"Rs.130,000/-","Rs.20,000/-","Amount
deposited, gift retained"
71,One W/Watch (Hublot),"Khan  Hasham  bin Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",4/26/2018,"Rs.2,000,000/-","Rs.394,000/-","Amount deposited, gift retained"
72,One Medium Size Lapis Box,"Sahebzada         A. Khan,     Additional Secretary   /   Chief of  State  Protocol,
MoFA",4/26/2018,"Rs.10,000/-",Free of cost,Retained
73,One W/Watch (Rolex),"Sahebzada         A. Khan,     Additional Secretary   /   Chief
of  State  Protocol,",4/27/2018,"Rs.1,300,000/-","Rs.254,000/-","Amount deposited, gift retained"
,,MoFA,,,,
74,One Silver Tray,"Mr.    Waqas    Latif Mughal,          ACP,
MoFA",5/3/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift retained"
75,One Small Silver Tray,"Mr.             Shoaib
Mubarak,       DCP, MoFA, Karachi",5/11/2018,"Rs.20,000/-",Free of cost,Retained
76,One Silver Tray (Large),"Lt. Gen. (R) Abdul
Qadir         Baloch, Minister in waiting",5/15/2018,"Rs.75,000/-",-,Deposited in Toshakhana
77,One silver tray (Medium),"Mr. Imtiaz Ahmed, AS (AP), MoFA",5/16/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift
retained"
78,One flower vase,"Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",5/22/2018,"Rs.25,000/-",Free of cost,Retained
79,One Carpet,"Mr.   Ahsan   Iqbal, Interior Minister",6/6/2018,"Rs.130,000/-","Rs.20,000/-","Amount deposited, gift
retained"
80,One Silver Tray,"Mr.      M.      Adeel Pervaiz,  DCP(P&I),
MoFA",6/27/2018,"Rs.40,000/-",-,Deposited in TK
81,One Marble Bowl,Foreign Secretary,6/28/2018,"Rs.8,000/-",Free of cost,Retained
82,"a)  One Tie
b)  Pair of Cufflinks
c)  One Mug
d)  One Decoration Piece",Secretary        M/o Information         & Broadcasting,7/2/2018,"a)  Rs.500/-
b)  Rs.350/-
c)  NCV
d)  NCV",-,Deposited in Toshakhana
83,"a)  One Sweater
b)  One Shawl
c)  Two Neckerchief","President           of
Pakistan,          Mr. Mamnoon Hussain",7/2/2018,"a)  Rs.6,000/-
b)  Rs.5,000/-
c)  Rs.4,000/-",Free of cost,Retained
,d)  One Model,,,"d)  Rs.10,000/-",,
84,One Silk Carpet,"President           of
Pakistan           Mr. Mamnoon Hussain",7/2/2018,"Rs.450,000/-","Rs.84,000/-","Amount deposited, gift retained"
85,One Carpet,"President           of
Pakistan,          Mr. Mamnoon Hussain",7/2/2018,"Rs.40,000/-","Rs.2,000/-","Amount deposited, gift retained"
86,One Scenery,"President           of
Pakistan,          Mr. Mamnoon Hussain",7/2/2018,"Rs.15,000/-",Free of cost,Retained
87,One Scenery,"President           of
Pakistan,          Mr. Mamnoon Hussain",7/2/2018,"Rs.20,000/-",Free of cost,Retained
88,"a)  One Ceramic Plate
b)  Two Books","President           of
Pakistan,          Mr. Mamnoon Hussain",7/2/2018,"a)  Rs.12,000/-
b)  NCV",Free of cost,Retained
89,One Cell Phone 5 Plus,"Director
Marketing,       HIT Taxila",7/17/2018,"Rs.25,900/-",Free of cost,Retained
90,"Leather gift pack comprising
a)  One Hand Wallet
b)  One   Pocket   Wallet,   Key Chain + wallet
c)  Visiting card wallet
d)  One tea cup
e)  One shield
f)  One Cap","Director Marketing,      HIT, Taxila",7/26/2018,"a)  Rs.500/-
b)  Rs.400/-
c)  Rs.300/-
d)  Rs.500/-
e)  NCV
f)  NCV",-,Deposited in Toshakhana
91,One Souvenir Golden,"President           of
Pakistan,          Mr. Mamnoon Hussain",7/31/2018,"Rs.30,000/-",Free of cost,Retained
92,One Vase,"President           of
Pakistan,          Mr.",7/31/2018,"Rs.25,000/-",Free of cost,Retained
,,Mamnoon Hussain,,,,
93,One Decoration Piece (Bronze Gallop Horse),"Mr.   Imran   Khan, Prime   Minister   of
Pakistan",8/29/2018,"Rs.20,000/-",Free of cost,Retained
94,One Table Mat,"Prime   Minister   of
Pakistan,          Mr. Imran Khan",9/3/2018,"Rs.30,000/-",Free of cost,Retained
95,One Silk Carpet,"Prime   Minister   of
Pakistan,          Mr. Imran Khan",9/3/2018,"Rs.300,000/-",-,Gift displayed at PM House
96,"a)  One   Dec.   Piece   (Glass Works)
b)  One Locket","Prime   Minister   of Pakistan,          Mr.
Imran Khan",9/6/2018,"a)  Rs.8,000/-
b)  Rs.20,000/-",Free of cost,Retained
97,Model of Makkah Clock Tower,"Prime   Minister   of Pakistan,          Mr.
Imran Khan",9/10/2018,"Rs.25,000/-",Free of cost,Retained
98,"a)  One   Chinese   Decoration Piece      (Bronze      Horse Souvenir)
b)  One           Mercedes-Benz Rollerball pen",Finance Minister,9/10/2018,"a)  Rs.20,000/-
b)  Rs.30,000/-",-,Deposited in Toshakhana
99,One   W/Watch   (Aigner   Bari Chrono No.37500),"Mr.     Amir     Ilyas Rana,         Bureau
Chief         Express
News",9/10/2018,"Rs.85,000/-","Rs.11,000/-","Amount deposited, gift retained"
100,One handmade Iranian piece,"Minister            for
Finance,   Revenue & Economic Affairs",9/11/2018,"Rs.7,000/-",-,Deposited in Toshakhana
101,One Decoration Piece (glass),"Prime   Minister   of Pakistan,          Mr.
Imran Khan",9/12/2018,"Rs.9,000/-",Free of cost,Retained
102,One Wall Hanging piece,"Prime   Minister   of Pakistan,          Mr.
Imran Khan",9/12/2018,"Rs.8,000/-",Free of cost,Retained
103,"One W/Watch (Rolex) Oyster SWIMPRUF  3024C4J5,  Rolex SA","Mr.    Manzoor    ul Haq, Member, KPK Public         Service Commission Peshawar,   former Ambassador       to
KSA",9/14/2018,"Rs.1,500,000/-","Rs.294,000/-","Amount deposited, gift retained"
104,One Decoration piece (Flower Vase),"Prime   Minister   of Pakistan Mr. Imran
Khan",9/18/2018,"Rs.25,000/-",Free of cost,Retained
105,"a)  (One     W/Watch     (Graff No.AU750)   18k   gold   +
Dimond
b)  (Pair of Cufflinks.
c)  One Pen.
d)  One Ring.","Prime   Minister   of Pakistan,      Imran Khan",9/24/2018,"a)  Rs.85,000,000/-
b)  Rs.5,670,000/-
c)  Rs.1,500,000/-
d)  Rs.8,750,000/-","Rs.20,178,000/-","Amount deposited, gift retained"
106,"One  box  of  Oud  Wood,  two bottles of perfume","Prime   Minister   of Pakistan,      Imran
Khan",9/24/2018,"Rs.500,000/-",-,Deposited in Toshakhana
107,"a)  One W/Watch (Chopard)
b)  Pair of Cufflinks (Chopard)
c)  One Ball Pen (Chopard)
d)  One Ring
e)  One Tasbih","Brig.         Waseem Iftikhar    Cheema, MS      to      Prime Minister",9/24/2018,"a)  Rs.2,200,000/-
b)  Rs.170,000/-
c)  Rs.140,000/-
d)  Rs.200,000/-
e)  Rs.135,000/-","Rs.563,000/-","Amount deposited, gift retained"
108,"a)  One W/Watch (Chopard)
b)  Pair of Cufflinks
c)  One Ball Pen (Chopard)
d)  One Ring (Chopard)","Mr.      Muhammad Ali,  PSO  to  Prime Minister",9/24/2018,"a)  Rs.750,000/-
b)  Rs.110,000/-
c)  Rs.80,000/-
d)  Rs.90,000/-","Rs.240,000/-","Amount deposited, gift retained"
,e)  One Tasbih,,,"e)  Rs.200,000/-",,
109,One       W/Watch       (Rolex) (No.3R522723),"SP   Rana   Shoaib Mehmood,  CSO  to
Prime Minister",9/24/2018,"Rs.2,900,000/-","Rs.574,000/-","Amount deposited, gift retained"
110,"One      W/Watch      (Hublot) Classic                        Fusion
No.1112326510. OX.1180.OX
(Automatic)","Mr.  Khan  Hasham bin         Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",9/24/2018,"Rs.3,550,000/-","Rs.704,000/-","Amount deposited, gift retained"
111,"a)  Two box of Dates
b)  One W/Watch
c)  One Ball Pen
d)  One Ring
e)  One Tasbih
f)  Pair of Cufflinks","Chaudhry     Fawad Hussain,    Minister for Information",9/25/2018,"a)  Rs.6,000/-
b)  Rs.2,000,000/-
c)  Rs.1,050,000/-
d)  Rs.85,000/-
e)  Rs.200,000/-
f)  Rs.120,000/-","Rs.686,200/-","Amount deposited, gift retained"
112,One  W/Watch  (Rolex  Yacht Master – 49N96500),"Mr.  Murad  Ashraf Janjua,    Chief    of
State Protocol",9/25/2018,"Rs.2,900,000/-","Rs.574,000/-","Amount deposited, gift retained"
113,"One Brass Coin & One Small
carpet size 1.8",Chairman Senate,9/25/2018,"Rs.5,000/-",Free of cost,Retained
114,"a)  One W/Watch (Rolex)
b)  One Pen
c)  Pair of Cufflinks
d)  One Tasbih
e)  One Ring","Makhdoom     Shah Mehmood  Qureshi, Foreign Minister",9/27/2018,"a)  Rs.4,850,000/-
b)  Rs.950,000/-
c)  Rs.135,000/-
d)  Rs.205,000/-
e)  Rs.210,000/-",-,Deposited in Toshakhana
115,One W/Watch (Bvlgari),"Ms.          Tehmina
Janjua,       Foreign Secretary",9/27/2018,"Rs.1,000,000/-",-,Deposited in Toshakhana
116,One       Decoration       Piece (Turkish Pot),"Makhdoom     Shah
Mehmood  Qureshi, Foreign Minister",9/27/2018,"Rs.25,000/-",Free of cost,Retained
117,One Flower Vase,"Dr.      Arif      Alvi,",9/27/2018,"Rs.20,000/-",Free of cost,Retained
,,"President           of
Pakistan",,,,
118,One  Mobile  Phone   (Huawei P20),"Rear          Admiral
Muhammad Shafique, HI(M)",9/27/2018,"Rs.30,000/-",Free of cost,Retained
119,One Model of Ship,"Dr.      Arif      Alvi,
President           of Pakistan",10/1/2018,"Rs.10,000/-",Free of cost,Retained
120,One Wall Hanging,"Prime   Minister   of Pakistan,      Imran
Khan",10/1/2018,"Rs.18,000/-",Free of cost,Retained
121,"One       W/Watch       (Rolex) (M228206-0036, 43A2G470)","Prime   Minister   of Pakistan,      Imran
Khan",10/1/2018,"Rs.3,800,000/-","Rs.754,000/-","Amount deposited, gift
retained"
122,"One       W/Watch       (Rolex) Sr.No.N76P9648-750    Model
No.228238","Mr.      Muhammad Azam           Khan,
Secretary to PM",10/2/2018,"Rs.3,200,000/-",,Deposited in TK
123,One W/Watch (Rolex),"Mr.          Shehryar Akbar           Khan, Consul  General  of Pakistan  in  Saudi
Arabia",10/2/2018,"Rs.2,000,000/-","Rs.394,000/-","Amount deposited, gift retained"
124,"a)  One W/Watch (Chopard).
b)  One Ring
c)  Pair of Cufflinks
d)  One Pen
e)  One Tasbih","Mr.   Abdul   Razak Dawood,    Advisor to Prime Minister",10/4/2018,"a)  Rs.1,500,000/-
b)  Rs.400,000/-
c)  Rs.700,000/-
d)  Rs.45,000/-
e)  Rs.200,000/-",-,Deposited in Toshakhana
125,"One       W/Watch       (Rolex) No.M126334-0020,
YD488258","Lt.    Col.    Moeen Iqbal   Khan,   DMS
to Prime Minister",10/4/2018,"Rs.1,400,000/-","Rs.274,000/-","Amount deposited, gift retained"
126,One Decoration Piece,"Makhdoom     Shah
Mehmood  Qureshi,",10/9/2018,"Rs.8,000/-",Free of cost,Retained
,,Foreign Minister,,,,
127,One Decoration Piece,"Makhdoom     Shah Mehmood  Qureshi,
Foreign Minister",10/14/2018,"Rs.30,000/-",Free of cost,Retained
128,One   Chinese   Wall   Hanging piece,"Makhdoom     Shah Mehmood  Qureshi, Foreign Minister",10/14/2018,"Rs.18,000/-",Free of cost,Retained
129,"One       W/Watch       (Rolex) (M126331-0014, 2G367435)","Prime   Minister   of Pakistan,          Mr.
Imran Khan",10/22/2018,"Rs.1,500,000/-","Rs.294,000/-","Amount deposited, gift
retained"
130,"a)  Photograph (Large)
b)  One Book
c)  One Chaddar
d)  One Parasad
e)  Incense Stick
f)  One    packet    of    Green Cardamom
g)  Photograph (Small)","Prime   Minister   of Pakistan,          Mr. Imran Khan",10/26/2018,"a)  Rs.500
b)  NCV
c)  Rs.400
d)  NCV
e)  NCV
f)  NCV
g)  Rs.400",-,"Sr. a) c) & g) deposited in Toshakhana
Sr. b) displayed at Cabinet Division Library Sr. d) e) & f)
written off"
131,"a)  One Painting
b)  One Blue Tea Set","Makhdoom     Shah Mehmood  Qureshi,
Foreign Minister",11/2/2018,"a)  Rs.15000/-
b)  Rs.8000/-",Free of cost,Retained
132,One Carpet,"Prime   Minister   of
Pakistan,      Imran Khan",11/8/2018,"Rs.500,000/-",-,Deposited in Toshakhana
133,One Flower Vase,"Prime   Minister   of
Pakistan,      Imran Khan",11/8/2018,"Rs.15,000/-",Free of cost,Retained
134,One Wall Hanging Scenery,"Prime   Minister   of Pakistan,      Imran
Khan",11/8/2018,"Rs.40,000/-",,Deposited in TK
135,One Tea Set (14 pcs),"Prime   Minister   of Pakistan,      Imran
khan",11/8/2018,Rs.3500/-,Free of Cost,Retained
136,"a)  One Tea Set
b)  One Book","Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"a)  Rs.4,000/-
b)  NCV",Free of cost,Retained
137,"a)  One Small Calligraphy
b)  One Handkerchief
c)  One Book","Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"a)  Rs.3,500/-
b)  Rs.1,500/-
c)  NCV",Free of cost,Retained
138,One Book,"Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,NCV,Free of cost,Retained
139,"a)  Traditional Glass Work.
b)  One Belt
c)  One Tie
d)  One Book","Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"a)  Rs.50,000/-
b)  Rs.1,200/-
c)  Rs.2,200/-
d)  NCV","Rs.4,680/-","Amount Deposited, gift retained"
140,One Souvenir,"Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"Rs.5,000/-",Free of cost,Retained
141,Four books,"Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,NCV,Free of cost,Retained
142,"One Book
One Postal Glass Ticket","Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"NCV Rs.3,000/-",Free of cost,Retained
143,One flower Vase,"Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"Rs.5,000/-",Free of cost,Retained
144,One Tasbih,"Dr.      Arif      Alvi,
President           of Pakistan",11/9/2018,"Rs.45,000/-","Rs.3,000/-","Amount Deposited, gift retained"
145,One Pendant,"Presented  to  First Lady   wife   of   Dr.
Arif Alvi",11/9/2018,"Rs.35,000/-","Rs.1,000/-","Amount Deposited, gift
retained"
146,"a)  One Rosary (Tasbih)
b)  Pair of Cufflinks
c)  One Ring
d)  One W/Watch (Chopard)
e)  One Ball Pen","Mr.    Asad    Umer, Finance Minister",11/12/2018,"a)  Rs.210,000/-
b)  Rs.300,000/-
c)  Rs.260,000/-
d)  Rs.2,000,000/-
e)  Rs.75000/-",-,Deposited in Toshakhana
147,"a)  One    W/Watch    (Rolex) No.M116710LN-0001)
Gent’s
b)  One    W/Watch    (Rolex) No.SYS/C9M074865865A5
P5) Ladies
c)  One I-Phone
d)  Two Gents Suits
e)  One                    Perfume,
DOLCE&GABBA
f)  One  Perfume  Bvlgari  LE Gemme (Ashlemah)
g)  One  Perfume  Bvlgari  LE Gemme (Onekh)
h)  One Perfume Ruby (Bound No.9)
i)   One     Violet     Samsonite (Gents)
j)  One Violet Aigner (Ladies)
k)  One Ball Pen (Mont Blanc)","Mr.   Imran   Khan, Prime   Minister   of Pakistan",11/13/2018,"a)  Rs.900,000/-
b)  Rs.400,000/-
c)  Rs.210,000/-
d)  Rs.30,000/-
e)  Rs.35,000/-
f)  Rs.30,000/-
g)  Rs.26,000/-
h)  Rs.40,000/-
i)   Rs.6,000/-
j)  Rs.18,000/-
k)  Rs.28,000/-","Rs.338,600/-","Amount deposited, gift retained"
148,One Decoration Piece (Bronze Deer Souvenir),"Mr.    Asad    Umar, Finance Minister",11/23/2018,"Rs.8,000/-",-,"Displayed at PM
House"
149,One  Model  of  Mosque  (Glass Work).,"Mr.   Imran   Khan,
Prime   Minister   of Pakistan",11/23/2018,"Rs.80,000/-",-,Deposited in Toshakhana
150,"a)  One Tepak Sirih
b)  One Calligraphy piece","Mr.   Imran   Khan,
Prime   Minister   of Pakistan",11/23/2018,"a)  Rs.100,000/-
b)  Rs.12,000/-",-,Deposited in Toshakhana
